,Unnamed: 0,Province,District,Station,Code,Year,Month,Avg_Temp_Max,Avg_Temp_Min,Avg_Temp_Moyn,Avg_Hum,Total_RF,Malaria_cases
0,70,EST,KAYONZA,RUKARA,1,2011,1,25.03,14.76,21.05,62.16,43.0,99.0
1,69,EST,KAYONZA,RUKARA,1,2011,2,25.59,14.79,21.38,63.31,68.0,49.0
2,74,EST,KAYONZA,RUKARA,1,2011,3,24.05,14.87,20.59,68.05,157.0,60.0
3,67,EST,KAYONZA,RUKARA,1,2011,4,23.85,14.83,20.46,72.72,150.0,24.0
4,73,EST,KAYONZA,RUKARA,1,2011,5,23.94,15.34,20.73,70.4,105.0,70.0
5,72,EST,KAYONZA,RUKARA,1,2011,6,10.58,14.95,13.85,61.8,0.0,80.0
6,71,EST,KAYONZA,RUKARA,1,2011,7,25.35,14.1,20.89,54.05,4.0,44.0
7,66,EST,KAYONZA,RUKARA,1,2011,8,25.58,15.02,21.38,59.27,20.0,26.0
8,77,EST,KAYONZA,RUKARA,1,2011,9,24.58,14.73,20.81,68.88,106.0,24.0
9,76,EST,KAYONZA,RUKARA,1,2011,10,24.84,13.74,20.12,67.81,212.0,21.0
10,75,EST,KAYONZA,RUKARA,1,2011,11,24.78,13.87,20.48,73.07,242.0,53.0
11,68,EST,KAYONZA,RUKARA,1,2011,12,24.68,14.39,20.62,72.26,151.0,94.0
12,58,EST,KAYONZA,RUKARA,1,2012,1,25.33,14.53,21.11,56.53,13.0,147.0
13,57,EST,KAYONZA,RUKARA,1,2012,2,26.52,14.6,21.66,57.31,49.0,76.0
14,62,EST,KAYONZA,RUKARA,1,2012,3,26.27,14.81,21.73,64.65,163.0,25.0
15,55,EST,KAYONZA,RUKARA,1,2012,4,23.8,15.33,20.62,73.57,199.0,14.0
16,61,EST,KAYONZA,RUKARA,1,2012,5,22.66,14.7,19.84,75.75,127.0,114.0
17,60,EST,KAYONZA,RUKARA,1,2012,6,23.62,14.7,20.24,63.3,66.0,276.0
18,59,EST,KAYONZA,RUKARA,1,2012,7,25.26,14.24,20.89,52.61,0.0,133.0
19,54,EST,KAYONZA,RUKARA,1,2012,8,26.0,14.27,21.31,51.48,11.0,79.0
20,65,EST,KAYONZA,RUKARA,1,2012,9,24.61,14.13,20.57,60.54,47.0,52.0
21,64,EST,KAYONZA,RUKARA,1,2012,10,24.73,15.19,21.1,68.23,88.0,79.0
22,63,EST,KAYONZA,RUKARA,1,2012,11,23.21,14.34,19.85,70.49,95.0,201.0
23,56,EST,KAYONZA,RUKARA,1,2012,12,24.08,14.76,20.41,73.76,162.0,483.0
24,46,EST,KAYONZA,RUKARA,1,2013,1,25.35,15.21,21.45,69.63,61.0,314.0
25,45,EST,KAYONZA,RUKARA,1,2013,2,25.0,14.82,21.24,62.64,56.0,278.0
26,50,EST,KAYONZA,RUKARA,1,2013,3,24.9,15.44,21.25,73.54,189.0,84.0
27,43,EST,KAYONZA,RUKARA,1,2013,4,23.57,14.93,20.36,74.43,242.0,106.0
28,49,EST,KAYONZA,RUKARA,1,2013,5,24.34,15.19,20.88,64.73,0.0,233.0
29,48,EST,KAYONZA,RUKARA,1,2013,6,25.22,14.35,20.98,53.73,0.0,390.0
30,47,EST,KAYONZA,RUKARA,1,2013,7,26.32,14.13,21.4,47.48,0.0,84.0
31,42,EST,KAYONZA,RUKARA,1,2013,8,25.65,14.65,21.31,52.86,31.0,73.0
32,53,EST,KAYONZA,RUKARA,1,2013,9,24.83,14.8,20.89,63.8,102.0,126.0
33,52,EST,KAYONZA,RUKARA,1,2013,10,25.26,14.94,21.14,60.36,64.0,162.0
34,51,EST,KAYONZA,RUKARA,1,2013,11,23.38,14.9,20.18,73.18,0.0,265.0
35,44,EST,KAYONZA,RUKARA,1,2013,12,24.05,15.39,20.85,71.96,0.0,290.0
36,34,EST,KAYONZA,RUKARA,1,2014,1,24.77,15.27,21.1,63.88,49.0,325.0
37,33,EST,KAYONZA,RUKARA,1,2014,2,22.58,14.24,18.86,62.75,111.0,148.0
38,38,EST,KAYONZA,RUKARA,1,2014,3,25.95,15.76,21.98,66.88,129.0,52.0
39,31,EST,KAYONZA,RUKARA,1,2014,4,23.82,15.35,20.77,71.29,88.0,60.0
40,37,EST,KAYONZA,RUKARA,1,2014,5,24.45,15.52,21.1,61.63,19.6,197.0
41,36,EST,KAYONZA,RUKARA,1,2014,6,25.08,15.52,21.47,57.07,8.3,430.0
42,35,EST,KAYONZA,RUKARA,1,2014,7,26.03,15.16,21.73,51.43,27.4,193.0
43,30,EST,KAYONZA,RUKARA,1,2014,8,24.87,15.3,21.25,58.22,52.5,186.0
44,41,EST,KAYONZA,RUKARA,1,2014,9,23.88,15.15,20.7,61.78,60.4,294.0
45,40,EST,KAYONZA,RUKARA,1,2014,10,25.02,15.26,21.27,65.66,62.0,577.0
46,39,EST,KAYONZA,RUKARA,1,2014,11,23.73,14.52,20.21,71.36,135.91,1448.0
47,32,EST,KAYONZA,RUKARA,1,2014,12,22.5,12.24,18.39,58.28,87.4,1752.0
48,26,EST,KAYONZA,RUKARA,1,2015,1,53.75,25.31,16.29,2.4,342.0,1221.0
49,25,EST,KAYONZA,RUKARA,1,2015,2,53.38,23.85,14.69,3.27,322.0,909.0
50,29,EST,KAYONZA,RUKARA,1,2015,3,26.46,16.08,22.24,60.41,108.0,493.0
51,24,EST,KAYONZA,RUKARA,1,2015,4,23.13,15.13,20.24,75.38,213.0,585.0
52,28,EST,KAYONZA,RUKARA,1,2015,5,23.89,15.92,21.03,68.67,43.0,910.0
53,27,EST,KAYONZA,RUKARA,1,2015,6,24.22,15.38,20.97,61.13,43.0,1712.0
54,10,EST,KAYONZA,RUKARA,1,2015,7,27.42,15.58,21.5,50.43,0.0,562.0
55,0,EST,KAYONZA,RUKARA,1,2015,8,29.05,16.1,22.57,48.15,0.0,256.0
56,22,EST,KAYONZA,RUKARA,1,2015,9,28.6,15.52,21.57,55.51,70.7,226.0
57,20,EST,KAYONZA,RUKARA,1,2015,10,25.44,15.69,20.56,66.02,153.3,354.0
58,18,EST,KAYONZA,RUKARA,1,2015,11,24.98,15.72,20.35,73.53,93.2,1421.0
59,4,EST,KAYONZA,RUKARA,1,2015,12,25.74,15.82,20.81,69.59,55.1,899.6341463414634
60,8,EST,KAYONZA,RUKARA,1,2016,1,27.11,16.31,21.74,65.04,84.2,3486.0
61,6,EST,KAYONZA,RUKARA,1,2016,2,28.16,16.79,22.5,61.91,45.3,1618.0
62,16,EST,KAYONZA,RUKARA,1,2016,3,28.16,16.59,22.59,61.73,107.93,923.0
63,2,EST,KAYONZA,RUKARA,1,2016,4,26.27,16.67,21.47,72.64,141.15,1099.0
64,14,EST,KAYONZA,RUKARA,1,2016,5,27.02,16.35,21.69,58.39,7.2,2503.0
65,12,EST,KAYONZA,RUKARA,1,2016,6,27.72,15.47,21.59,50.29,0.0,1861.0
66,11,EST,KAYONZA,RUKARA,1,2016,7,28.29,15.13,21.71,48.93,0.0,833.0
67,1,EST,KAYONZA,RUKARA,1,2016,8,28.9,16.02,22.46,43.14,13.0,113.0
68,23,EST,KAYONZA,RUKARA,1,2016,9,28.38,16.18,22.27,49.46,41.9,338.0
69,21,EST,KAYONZA,RUKARA,1,2016,10,28.23,15.24,21.73,53.7,72.0,973.0
70,19,EST,KAYONZA,RUKARA,1,2016,11,27.43,15.26,21.35,67.24,159.3,2408.0
71,5,EST,KAYONZA,RUKARA,1,2016,12,26.4,14.58,20.44,64.26,54.9,899.6341463414634
72,9,EST,KAYONZA,RUKARA,1,2017,1,28.63,15.47,22.05,50.66,0.3,5921.0
73,7,EST,KAYONZA,RUKARA,1,2017,2,27.11,15.36,21.23,58.68,93.0,3638.0
74,17,EST,KAYONZA,RUKARA,1,2017,3,26.82,14.18,20.5,59.61,315.0,2559.0
75,3,EST,KAYONZA,RUKARA,1,2017,4,27.07,14.98,21.01,63.26,117.9,2000.0
76,15,EST,KAYONZA,RUKARA,1,2017,5,26.74,15.82,21.28,60.14,54.0,3355.0
77,13,EST,KAYONZA,RUKARA,1,2017,6,29.33,15.5,22.42,51.31,0.0,4004.0
78,79,EST,KAYONZA,RUKARA,1,2017,7,26.89,14.98,22.15,50.99,0.0,2651.0
79,78,EST,KAYONZA,RUKARA,1,2017,8,27.48,16.03,23.03,50.98,1.0,1753.0
80,80,EST,KAYONZA,RUKARA,1,2017,9,27.0,14.58,22.05,60.78,83.0,1732.0
81,81,EST,KAYONZA,RUKARA,1,2017,10,26.24,15.15,21.74,60.63,177.1,2261.0
82,82,EST,KAYONZA,RUKARA,1,2017,11,24.43,15.17,20.88,70.22,206.8,3292.0
83,83,EST,KAYONZA,RUKARA,1,2017,12,25.21,15.13,21.31,62.26,47.9,5410.0
